2025-09-19 02:54:52.398917 - MPU: x=-1, y=-1, z=0 - Pulgar=0, Indice=16128, Mayor=5751, Anulaar=14868, Meñique=1293
2025-09-19 02:54:52.448749 - MPU: x=-1, y=-1, z=0 - Pulgar=0, Indice=16128, Mayor=5751, Anulaar=14868, Meñique=1293
2025-09-19 02:54:52.548660 - MPU: x=-1, y=-1, z=0 - Pulgar=0, Indice=16128, Mayor=5751, Anulaar=14830, Meñique=1293
2025-09-19 02:54:52.648362 - MPU: x=-1, y=-1, z=0 - Pulgar=0, Indice=16128, Mayor=5766, Anulaar=14905, Meñique=1293
2025-09-19 02:54:52.750277 - MPU: x=-1, y=-1, z=0 - Pulgar=0, Indice=16107, Mayor=5751, Anulaar=14830, Meñique=1293
2025-09-19 02:54:52.848710 - MPU: x=-1, y=-1, z=0 - Pulgar=0, Indice=16128, Mayor=5751, Anulaar=14868, Meñique=1293
2025-09-19 02:54:52.950631 - MPU: x=-1, y=-1, z=0 - Pulgar=0, Indice=16128, Mayor=5774, Anulaar=14905, Meñique=1293
2025-09-19 02:54:53.048745 - MPU: x=0, y=-2, z=0 - Pulgar=0, Indice=16128, Mayor=5744, Anulaar=14830, Meñique=1293
2025-09-19 02:54:53.148330 - MPU: x=-1, y=-1, z=-1 - Pulgar=0, Indice=16148, Mayor=5751, Anulaar=14868, Meñique=1293
2025-09-19 02:54:53.248696 - MPU: x=-1, y=-1, z=0 - Pulgar=0, Indice=16128, Mayor=5751, Anulaar=14812, Meñique=1293
2025-09-19 02:54:53.351863 - MPU: x=-1, y=-2, z=-1 - Pulgar=0, Indice=16128, Mayor=5751, Anulaar=14812, Meñique=1293
2025-09-19 02:54:53.449553 - MPU: x=-1, y=-2, z=0 - Pulgar=0, Indice=16128, Mayor=5751, Anulaar=14830, Meñique=1293
2025-09-19 02:54:53.549036 - MPU: x=-1, y=-1, z=0 - Pulgar=0, Indice=16107, Mayor=5751, Anulaar=14830, Meñique=1293
2025-09-19 02:54:53.650960 - MPU: x=-1, y=-2, z=1 - Pulgar=0, Indice=16128, Mayor=5751, Anulaar=14886, Meñique=1293
2025-09-19 02:54:53.748893 - MPU: x=-1, y=-1, z=0 - Pulgar=0, Indice=16128, Mayor=5751, Anulaar=14812, Meñique=1293
2025-09-19 02:54:53.849277 - MPU: x=-1, y=-2, z=0 - Pulgar=0, Indice=16107, Mayor=5751, Anulaar=14812, Meñique=1293
2025-09-19 02:54:53.978476 - MPU: x=-1, y=-1, z=1 - Pulgar=0, Indice=16128, Mayor=5751, Anulaar=14849, Meñique=1293
2025-09-19 02:54:54.057315 - MPU: x=-1, y=-2, z=0 - Pulgar=0, Indice=16107, Mayor=5744, Anulaar=14830, Meñique=1293
2025-09-19 02:54:54.148550 - MPU: x=-1, y=-2, z=-1 - Pulgar=0, Indice=16169, Mayor=5774, Anulaar=14943, Meñique=1293
2025-09-19 02:54:54.249369 - MPU: x=-2, y=-1, z=1 - Pulgar=0, Indice=16107, Mayor=5759, Anulaar=14830, Meñique=1293
2025-09-19 02:54:54.349287 - MPU: x=-1, y=-1, z=-1 - Pulgar=0, Indice=16148, Mayor=5751, Anulaar=14830, Meñique=1293
2025-09-19 02:54:54.451187 - MPU: x=-1, y=-2, z=0 - Pulgar=0, Indice=16148, Mayor=5751, Anulaar=14830, Meñique=1293
2025-09-19 02:54:54.549028 - MPU: x=-2, y=0, z=0 - Pulgar=0, Indice=16128, Mayor=5751, Anulaar=14793, Meñique=1293
2025-09-19 02:54:54.648707 - MPU: x=0, y=-2, z=0 - Pulgar=0, Indice=16128, Mayor=5766, Anulaar=14905, Meñique=1293
2025-09-19 02:54:54.751259 - MPU: x=-1, y=-2, z=0 - Pulgar=0, Indice=16128, Mayor=5744, Anulaar=14830, Meñique=1293
2025-09-19 02:54:54.848978 - MPU: x=-1, y=-1, z=0 - Pulgar=0, Indice=16128, Mayor=5759, Anulaar=14849, Meñique=1293
2025-09-19 02:54:54.948975 - MPU: x=-1, y=-1, z=0 - Pulgar=0, Indice=16128, Mayor=5751, Anulaar=14830, Meñique=1293
2025-09-19 02:54:55.050088 - MPU: x=-1, y=-2, z=0 - Pulgar=0, Indice=16128, Mayor=5751, Anulaar=14849, Meñique=1293
2025-09-19 02:54:55.148931 - MPU: x=-1, y=-1, z=0 - Pulgar=0, Indice=16148, Mayor=5774, Anulaar=14905, Meñique=1293
2025-09-19 02:54:55.249093 - MPU: x=-1, y=-2, z=0 - Pulgar=0, Indice=16107, Mayor=5751, Anulaar=14830, Meñique=1293
2025-09-19 02:54:55.350740 - MPU: x=-1, y=-1, z=0 - Pulgar=0, Indice=16107, Mayor=5751, Anulaar=14812, Meñique=1293
2025-09-19 02:54:55.449179 - MPU: x=-1, y=-2, z=0 - Pulgar=0, Indice=16128, Mayor=5751, Anulaar=14812, Meñique=1293
2025-09-19 02:54:55.551618 - MPU: x=-1, y=-1, z=0 - Pulgar=0, Indice=16128, Mayor=5774, Anulaar=14868, Meñique=1293
2025-09-19 02:54:55.649167 - MPU: x=-1, y=-1, z=0 - Pulgar=0, Indice=16148, Mayor=5774, Anulaar=14905, Meñique=1293
2025-09-19 02:54:55.752803 - MPU: x=-1, y=-1, z=0 - Pulgar=0, Indice=16128, Mayor=5774, Anulaar=14924, Meñique=1293
2025-09-19 02:54:55.850146 - MPU: x=-1, y=-1, z=0 - Pulgar=0, Indice=16128, Mayor=5751, Anulaar=14830, Meñique=1293
2025-09-19 02:54:55.949429 - MPU: x=-1, y=-1, z=0 - Pulgar=0, Indice=16128, Mayor=5751, Anulaar=14868, Meñique=1293
2025-09-19 02:54:56.052072 - MPU: x=-1, y=-1, z=-1 - Pulgar=0, Indice=16128, Mayor=5744, Anulaar=14830, Meñique=1293
2025-09-19 02:54:56.148690 - MPU: x=-1, y=-1, z=0 - Pulgar=0, Indice=16148, Mayor=5766, Anulaar=14849, Meñique=1293
2025-09-19 02:54:56.248917 - MPU: x=0, y=2, z=-6 - Pulgar=0, Indice=16128, Mayor=5759, Anulaar=14756, Meñique=1293
2025-09-19 02:54:56.349138 - MPU: x=-1, y=4, z=-3 - Pulgar=0, Indice=16128, Mayor=5736, Anulaar=14868, Meñique=1293
2025-09-19 02:54:56.448978 - MPU: x=0, y=1, z=0 - Pulgar=0, Indice=16128, Mayor=5736, Anulaar=14868, Meñique=1293
2025-09-19 02:54:56.549016 - MPU: x=-2, y=6, z=-4 - Pulgar=0, Indice=16128, Mayor=5759, Anulaar=14849, Meñique=1293
2025-09-19 02:54:56.648649 - MPU: x=3, y=0, z=-4 - Pulgar=0, Indice=16086, Mayor=5781, Anulaar=14924, Meñique=1293
2025-09-19 02:54:56.750184 - MPU: x=7, y=-3, z=2 - Pulgar=0, Indice=16066, Mayor=5736, Anulaar=14830, Meñique=1293
2025-09-19 02:54:56.849120 - MPU: x=-2, y=4, z=-2 - Pulgar=0, Indice=16107, Mayor=5744, Anulaar=14905, Meñique=1293
2025-09-19 02:54:56.951104 - MPU: x=0, y=-1, z=-7 - Pulgar=0, Indice=16086, Mayor=5744, Anulaar=14849, Meñique=1293
2025-09-19 02:54:57.051743 - MPU: x=1, y=-4, z=2 - Pulgar=0, Indice=15984, Mayor=5751, Anulaar=14905, Meñique=1293
2025-09-19 02:54:57.152072 - MPU: x=-4, y=6, z=3 - Pulgar=0, Indice=16190, Mayor=5774, Anulaar=14868, Meñique=1293
2025-09-19 02:54:57.248930 - MPU: x=8, y=2, z=-2 - Pulgar=0, Indice=16025, Mayor=5744, Anulaar=14793, Meñique=1293
2025-09-19 02:54:57.353843 - MPU: x=5, y=3, z=7 - Pulgar=0, Indice=16107, Mayor=5751, Anulaar=14868, Meñique=1293
2025-09-19 02:54:57.454536 - MPU: x=3, y=5, z=0 - Pulgar=0, Indice=16086, Mayor=5751, Anulaar=14868, Meñique=1293
2025-09-19 02:54:57.549277 - MPU: x=-3, y=6, z=3 - Pulgar=0, Indice=16025, Mayor=5721, Anulaar=14849, Meñique=1293
2025-09-19 02:54:57.648919 - MPU: x=2, y=0, z=1 - Pulgar=0, Indice=16148, Mayor=5759, Anulaar=14905, Meñique=1293
2025-09-19 02:54:57.748976 - MPU: x=0, y=1, z=1 - Pulgar=0, Indice=16190, Mayor=5744, Anulaar=14830, Meñique=1293
2025-09-19 02:54:57.850931 - MPU: x=0, y=-1, z=0 - Pulgar=0, Indice=16128, Mayor=5744, Anulaar=14868, Meñique=1293
2025-09-19 02:54:57.953041 - MPU: x=0, y=1, z=1 - Pulgar=0, Indice=16086, Mayor=5744, Anulaar=14868, Meñique=1293
2025-09-19 02:54:58.051646 - MPU: x=0, y=3, z=-1 - Pulgar=0, Indice=16086, Mayor=5751, Anulaar=14868, Meñique=1293
2025-09-19 02:54:58.149908 - MPU: x=1, y=2, z=-1 - Pulgar=0, Indice=16128, Mayor=5766, Anulaar=14924, Meñique=1293
2025-09-19 02:54:58.254301 - MPU: x=0, y=-4, z=-1 - Pulgar=0, Indice=16128, Mayor=5759, Anulaar=14905, Meñique=1293
2025-09-19 02:54:58.349234 - MPU: x=0, y=-3, z=-1 - Pulgar=0, Indice=16128, Mayor=5751, Anulaar=14924, Meñique=1293
2025-09-19 02:54:58.451823 - MPU: x=-1, y=-2, z=0 - Pulgar=0, Indice=16128, Mayor=5751, Anulaar=14905, Meñique=1293
2025-09-19 02:54:58.548993 - MPU: x=-1, y=-5, z=1 - Pulgar=0, Indice=16128, Mayor=5751, Anulaar=14924, Meñique=1293
2025-09-19 02:54:58.649836 - MPU: x=-1, y=-2, z=-3 - Pulgar=0, Indice=16128, Mayor=5774, Anulaar=14962, Meñique=1293
