2025-09-16 16:29:48.561249 - MPU6050: x=-6, y=0, z=-1 - Flex 1=16357, Flex 2=50218, Flex 3=1305, Flex 4=14962, Flex 5=47192
2025-09-16 16:29:49.582902 - MPU6050: x=-6, y=0, z=-1 - Flex 1=16357, Flex 2=49891, Flex 3=1305, Flex 4=14905, Flex 5=33766
2025-09-16 16:29:50.558692 - MPU6050: x=-6, y=0, z=-1 - Flex 1=16357, Flex 2=50109, Flex 3=1305, Flex 4=14924, Flex 5=32525
2025-09-16 16:29:51.561520 - MPU6050: x=-6, y=0, z=-1 - Flex 1=16357, Flex 2=50218, Flex 3=1305, Flex 4=14905, Flex 5=32746
2025-09-16 16:29:52.563279 - MPU6050: x=-6, y=0, z=-1 - Flex 1=16399, Flex 2=49891, Flex 3=1305, Flex 4=14962, Flex 5=47093
2025-09-16 16:29:53.557425 - MPU6050: x=-6, y=0, z=-1 - Flex 1=16421, Flex 2=50218, Flex 3=1305, Flex 4=14962, Flex 5=46506
2025-09-16 16:30:23.857802 - MPU6050: x=-6, y=0, z=-1 - Flex 1=16336, Flex 2=55476, Flex 3=1305, Flex 4=14849, Flex 5=61739
2025-09-16 16:30:24.855751 - MPU6050: x=-7, y=0, z=-1 - Flex 1=16357, Flex 2=54705, Flex 3=1305, Flex 4=14849, Flex 5=63008
2025-09-16 16:30:25.876549 - MPU6050: x=-6, y=0, z=-1 - Flex 1=16357, Flex 2=54453, Flex 3=1305, Flex 4=14905, Flex 5=64324
2025-09-16 16:30:26.857080 - MPU6050: x=-7, y=0, z=-1 - Flex 1=16357, Flex 2=53953, Flex 3=1305, Flex 4=14868, Flex 5=61428
2025-09-16 16:30:27.855508 - MPU6050: x=-6, y=0, z=-1 - Flex 1=16378, Flex 2=53953, Flex 3=1305, Flex 4=14868, Flex 5=60815
2025-09-16 16:30:28.862805 - MPU6050: x=-6, y=0, z=-1 - Flex 1=16357, Flex 2=53829, Flex 3=1305, Flex 4=14849, Flex 5=59182
2025-09-16 16:30:29.856224 - MPU6050: x=-7, y=0, z=-1 - Flex 1=16357, Flex 2=53218, Flex 3=1305, Flex 4=14868, Flex 5=55088
2025-09-16 16:30:30.857639 - MPU6050: x=-6, y=0, z=-1 - Flex 1=16399, Flex 2=52737, Flex 3=1305, Flex 4=14924, Flex 5=53829
2025-09-16 16:30:31.866372 - MPU6050: x=-6, y=0, z=-1 - Flex 1=16315, Flex 2=53097, Flex 3=1305, Flex 4=14868, Flex 5=51797
2025-09-16 16:30:32.858185 - MPU6050: x=-7, y=0, z=-1 - Flex 1=16399, Flex 2=52977, Flex 3=1305, Flex 4=14962, Flex 5=51111
2025-09-16 16:30:33.856103 - MPU6050: x=-6, y=0, z=-1 - Flex 1=16357, Flex 2=52618, Flex 3=1305, Flex 4=14868, Flex 5=51567
2025-09-16 16:30:34.860174 - MPU6050: x=-6, y=0, z=-1 - Flex 1=16336, Flex 2=52618, Flex 3=1305, Flex 4=14868, Flex 5=51567
2025-09-16 16:30:35.855984 - MPU6050: x=-7, y=0, z=-1 - Flex 1=16357, Flex 2=52381, Flex 3=1305, Flex 4=14905, Flex 5=50998
2025-09-16 16:30:36.855440 - MPU6050: x=-6, y=0, z=-1 - Flex 1=16336, Flex 2=52264, Flex 3=1305, Flex 4=14868, Flex 5=53218
2025-09-16 16:30:37.860059 - MPU6050: x=-6, y=0, z=-1 - Flex 1=16357, Flex 2=52264, Flex 3=1305, Flex 4=14905, Flex 5=56265
2025-09-16 16:30:38.858952 - MPU6050: x=-7, y=0, z=-1 - Flex 1=16378, Flex 2=52264, Flex 3=1305, Flex 4=14905, Flex 5=56532
2025-09-16 16:30:39.854924 - MPU6050: x=-6, y=0, z=-1 - Flex 1=16357, Flex 2=52381, Flex 3=1305, Flex 4=14905, Flex 5=58607
2025-09-16 16:30:40.861062 - MPU6050: x=-6, y=0, z=-1 - Flex 1=16527, Flex 2=51913, Flex 3=1305, Flex 4=14905, Flex 5=59327
2025-09-16 16:30:41.871525 - MPU6050: x=-7, y=0, z=-1 - Flex 1=16378, Flex 2=52030, Flex 3=1305, Flex 4=14943, Flex 5=51452
2025-09-16 16:30:42.870045 - MPU6050: x=-7, y=0, z=-1 - Flex 1=16336, Flex 2=52030, Flex 3=1305, Flex 4=14905, Flex 5=51797
2025-09-16 16:30:43.864762 - MPU6050: x=-6, y=0, z=-1 - Flex 1=16357, Flex 2=51913, Flex 3=1305, Flex 4=14886, Flex 5=51682
2025-09-16 16:30:44.864736 - MPU6050: x=-7, y=0, z=-1 - Flex 1=16357, Flex 2=51682, Flex 3=1305, Flex 4=14962, Flex 5=52618
2025-09-16 16:30:45.872005 - MPU6050: x=-6, y=0, z=-1 - Flex 1=16357, Flex 2=51913, Flex 3=1305, Flex 4=14981, Flex 5=55868
2025-09-16 16:30:46.925911 - MPU6050: x=-6, y=0, z=-1 - Flex 1=16357, Flex 2=51797, Flex 3=1305, Flex 4=15287, Flex 5=63496
2025-09-16 16:30:47.866275 - MPU6050: x=-6, y=0, z=-1 - Flex 1=16570, Flex 2=52030, Flex 3=1305, Flex 4=15404, Flex 5=53461
2025-09-16 16:30:48.890606 - MPU6050: x=7, y=-1, z=4 - Flex 1=16591, Flex 2=52381, Flex 3=1305, Flex 4=15462, Flex 5=62687
2025-09-16 16:30:49.864814 - MPU6050: x=-7, y=0, z=-1 - Flex 1=16442, Flex 2=52381, Flex 3=1305, Flex 4=15306, Flex 5=56265
2025-09-16 16:30:50.864748 - MPU6050: x=-6, y=0, z=-1 - Flex 1=16506, Flex 2=52381, Flex 3=1305, Flex 4=15345, Flex 5=57073
2025-09-16 16:30:51.869717 - MPU6050: x=-6, y=0, z=-1 - Flex 1=16442, Flex 2=51682, Flex 3=1305, Flex 4=15443, Flex 5=58750
2025-09-16 16:30:52.874846 - MPU6050: x=-6, y=0, z=-1 - Flex 1=16442, Flex 2=51452, Flex 3=1305, Flex 4=15287, Flex 5=47793
2025-09-16 16:30:53.887400 - MPU6050: x=-6, y=0, z=-1 - Flex 1=16742, Flex 2=51452, Flex 3=1305, Flex 4=15345, Flex 5=47793
2025-09-16 16:30:54.892859 - MPU6050: x=-6, y=0, z=0 - Flex 1=16506, Flex 2=52264, Flex 3=1305, Flex 4=15267, Flex 5=45743
2025-09-16 16:30:55.876272 - MPU6050: x=-6, y=0, z=-1 - Flex 1=16421, Flex 2=51567, Flex 3=1305, Flex 4=15267, Flex 5=45743
2025-09-16 16:30:56.882127 - MPU6050: x=-6, y=0, z=-1 - Flex 1=16807, Flex 2=51682, Flex 3=1305, Flex 4=15267, Flex 5=46506
2025-09-16 16:30:57.873675 - MPU6050: x=-6, y=0, z=-1 - Flex 1=16506, Flex 2=51682, Flex 3=1305, Flex 4=15287, Flex 5=48201
2025-09-16 16:30:58.874213 - MPU6050: x=-6, y=0, z=-1 - Flex 1=16527, Flex 2=51452, Flex 3=1305, Flex 4=15267, Flex 5=48823
2025-09-16 16:30:59.881565 - MPU6050: x=-6, y=0, z=-1 - Flex 1=16655, Flex 2=51682, Flex 3=1305, Flex 4=15229, Flex 5=49674
2025-09-16 16:31:00.873825 - MPU6050: x=-7, y=0, z=-1 - Flex 1=16548, Flex 2=51682, Flex 3=1305, Flex 4=15267, Flex 5=49566
2025-09-16 16:31:01.895663 - MPU6050: x=-6, y=0, z=-1 - Flex 1=16548, Flex 2=51682, Flex 3=1305, Flex 4=15267, Flex 5=50885
2025-09-16 16:31:02.879273 - MPU6050: x=-6, y=0, z=-1 - Flex 1=16591, Flex 2=51452, Flex 3=1305, Flex 4=15462, Flex 5=52030
2025-09-16 16:31:03.873520 - MPU6050: x=-6, y=0, z=-1 - Flex 1=16442, Flex 2=51452, Flex 3=1305, Flex 4=15267, Flex 5=43658
2025-09-16 16:31:04.874452 - MPU6050: x=-7, y=0, z=-1 - Flex 1=16506, Flex 2=51797, Flex 3=1305, Flex 4=15267, Flex 5=44545
2025-09-16 16:31:05.879030 - MPU6050: x=-6, y=0, z=-1 - Flex 1=16357, Flex 2=51913, Flex 3=1305, Flex 4=15365, Flex 5=54077
2025-09-16 16:31:06.874111 - MPU6050: x=-6, y=0, z=-1 - Flex 1=16506, Flex 2=51682, Flex 3=1305, Flex 4=15267, Flex 5=56000
2025-09-16 16:31:07.877460 - MPU6050: x=-6, y=0, z=-1 - Flex 1=16421, Flex 2=51682, Flex 3=1305, Flex 4=15267, Flex 5=61428
2025-09-16 16:31:08.883163 - MPU6050: x=-6, y=0, z=-1 - Flex 1=16506, Flex 2=51797, Flex 3=1305, Flex 4=15248, Flex 5=73333
2025-09-16 16:31:09.873375 - MPU6050: x=-6, y=0, z=-1 - Flex 1=16484, Flex 2=51913, Flex 3=1305, Flex 4=15248, Flex 5=74615
2025-09-16 16:31:10.879015 - MPU6050: x=-6, y=0, z=-1 - Flex 1=16506, Flex 2=51682, Flex 3=1305, Flex 4=15267, Flex 5=77533
2025-09-16 16:31:11.878741 - MPU6050: x=-6, y=0, z=-1 - Flex 1=16442, Flex 2=51682, Flex 3=1305, Flex 4=15345, Flex 5=79189
2025-09-16 16:31:12.875289 - MPU6050: x=-6, y=0, z=-1 - Flex 1=16548, Flex 2=51682, Flex 3=1305, Flex 4=15267, Flex 5=75051
2025-09-16 16:31:13.873163 - MPU6050: x=-6, y=0, z=-1 - Flex 1=16421, Flex 2=51797, Flex 3=1305, Flex 4=15267, Flex 5=70487
2025-09-16 16:49:04.794000 - MPU6050: x=-6, y=0, z=-1 - Flex 1=16378, Flex 2=12192, Flex 3=5706, Flex 4=14812, Flex 5=39475
2025-09-16 16:49:05.758056 - MPU6050: x=-6, y=0, z=-1 - Flex 1=15801, Flex 2=11839, Flex 3=5617, Flex 4=14318, Flex 5=26105
2025-09-16 16:49:06.757845 - MPU6050: x=-6, y=0, z=-1 - Flex 1=16128, Flex 2=12103, Flex 3=5691, Flex 4=14608, Flex 5=27628
2025-09-16 16:49:07.773789 - MPU6050: x=-6, y=0, z=-1 - Flex 1=16128, Flex 2=12103, Flex 3=5684, Flex 4=14553, Flex 5=28915
2025-09-16 16:49:08.767403 - MPU6050: x=-11, y=0, z=-2 - Flex 1=16004, Flex 2=12058, Flex 3=5654, Flex 4=14480, Flex 5=81666
2025-09-16 16:49:09.808628 - MPU6050: x=-1, y=0, z=1 - Flex 1=15902, Flex 2=11897, Flex 3=5662, Flex 4=14498, Flex 5=77071
2025-09-16 16:49:12.056462 - MPU6050: x=-6, y=0, z=-1 - Flex 1=15943, Flex 2=11956, Flex 3=5654, Flex 4=14517, Flex 5=38387
2025-09-16 16:49:12.097857 - MPU6050: x=-6, y=0, z=-1 - Flex 1=16004, Flex 2=11956, Flex 3=5632, Flex 4=14480, Flex 5=39034
2025-09-16 16:49:12.099558 - MPU6050: x=-6, y=0, z=-1 - Flex 1=15943, Flex 2=11956, Flex 3=5654, Flex 4=14517, Flex 5=38387
2025-09-16 16:49:12.781986 - MPU6050: x=-6, y=0, z=-1 - Flex 1=15943, Flex 2=11956, Flex 3=5639, Flex 4=14480, Flex 5=39698
2025-09-16 16:49:13.778074 - MPU6050: x=-6, y=0, z=-1 - Flex 1=15963, Flex 2=11970, Flex 3=5654, Flex 4=14553, Flex 5=40925
2025-09-16 16:49:14.781335 - MPU6050: x=-6, y=0, z=-1 - Flex 1=16004, Flex 2=11897, Flex 3=5691, Flex 4=14480, Flex 5=43140
2025-09-16 16:49:15.800650 - MPU6050: x=-6, y=0, z=-1 - Flex 1=16107, Flex 2=12029, Flex 3=5662, Flex 4=14517, Flex 5=43311
2025-09-16 16:49:16.774540 - MPU6050: x=-6, y=0, z=-1 - Flex 1=16107, Flex 2=11985, Flex 3=5691, Flex 4=14571, Flex 5=44635
2025-09-16 16:49:17.799514 - MPU6050: x=-6, y=0, z=-1 - Flex 1=16128, Flex 2=13109, Flex 3=5684, Flex 4=14590, Flex 5=46896
2025-09-16 16:49:18.775419 - MPU6050: x=-6, y=-1, z=-1 - Flex 1=16086, Flex 2=13044, Flex 3=5684, Flex 4=14571, Flex 5=46798
2025-09-16 16:49:19.806971 - MPU6050: x=-6, y=-1, z=-1 - Flex 1=16086, Flex 2=13012, Flex 3=5676, Flex 4=14571, Flex 5=50439
2025-09-16 16:49:20.829258 - MPU6050: x=-6, y=2, z=-1 - Flex 1=16066, Flex 2=13028, Flex 3=5691, Flex 4=14553, Flex 5=56532
2025-09-16 16:49:21.775658 - MPU6050: x=-6, y=0, z=-1 - Flex 1=16086, Flex 2=13044, Flex 3=5676, Flex 4=14553, Flex 5=56398
2025-09-16 16:49:22.788525 - MPU6050: x=-1, y=-66, z=-19 - Flex 1=16004, Flex 2=13044, Flex 3=5684, Flex 4=14590, Flex 5=24920
2025-09-16 17:32:58.177331 - MPU6050: x=-6, y=0, z=-1 - Flex 1=16378, Flex 2=11568, Flex 3=5714, Flex 4=14645, Flex 5=44999
2025-09-16 17:32:59.207471 - MPU6050: x=-6, y=0, z=-1 - Flex 1=16294, Flex 2=11611, Flex 3=5706, Flex 4=14571, Flex 5=42215
2025-09-16 17:33:00.177039 - MPU6050: x=-6, y=0, z=0 - Flex 1=16273, Flex 2=11568, Flex 3=5706, Flex 4=14571, Flex 5=42050
2025-09-16 17:33:01.175641 - MPU6050: x=-6, y=0, z=-1 - Flex 1=16336, Flex 2=11667, Flex 3=5699, Flex 4=14498, Flex 5=41886
2025-09-16 17:33:02.170546 - MPU6050: x=-6, y=0, z=-1 - Flex 1=16273, Flex 2=11596, Flex 3=5706, Flex 4=14626, Flex 5=40304
2025-09-16 17:33:03.192615 - MPU6050: x=-6, y=0, z=-1 - Flex 1=16294, Flex 2=11653, Flex 3=5714, Flex 4=14590, Flex 5=39773
2025-09-16 17:33:04.171396 - MPU6050: x=-6, y=0, z=-1 - Flex 1=16273, Flex 2=11625, Flex 3=5706, Flex 4=14608, Flex 5=38816
2025-09-16 17:33:05.168598 - MPU6050: x=-6, y=0, z=-1 - Flex 1=16336, Flex 2=11625, Flex 3=5714, Flex 4=14608, Flex 5=37482
2025-09-16 17:33:06.168752 - MPU6050: x=-6, y=0, z=-1 - Flex 1=16336, Flex 2=11568, Flex 3=5699, Flex 4=14590, Flex 5=37619
2025-09-16 17:33:07.186239 - MPU6050: x=-6, y=0, z=-1 - Flex 1=16442, Flex 2=11667, Flex 3=5736, Flex 4=14645, Flex 5=37482
2025-09-16 17:33:08.168989 - MPU6050: x=-6, y=0, z=-1 - Flex 1=16378, Flex 2=11667, Flex 3=5736, Flex 4=14663, Flex 5=36218
2025-09-16 17:33:09.172409 - MPU6050: x=-6, y=0, z=-1 - Flex 1=16442, Flex 2=11696, Flex 3=5744, Flex 4=14700, Flex 5=36742
2025-09-16 17:33:10.177496 - MPU6050: x=-6, y=0, z=-1 - Flex 1=16357, Flex 2=11796, Flex 3=5744, Flex 4=14682, Flex 5=37756
2025-09-16 17:33:11.182094 - MPU6050: x=-6, y=0, z=-1 - Flex 1=16378, Flex 2=11653, Flex 3=5744, Flex 4=14645, Flex 5=37142
2025-09-16 17:33:12.183104 - MPU6050: x=-6, y=0, z=-1 - Flex 1=16357, Flex 2=11710, Flex 3=5766, Flex 4=14682, Flex 5=38744
2025-09-16 17:33:13.177685 - MPU6050: x=-6, y=0, z=-1 - Flex 1=16357, Flex 2=11753, Flex 3=5751, Flex 4=14774, Flex 5=39999
2025-09-16 17:33:14.174651 - MPU6050: x=-6, y=0, z=-1 - Flex 1=16336, Flex 2=11681, Flex 3=5744, Flex 4=14645, Flex 5=39924
2025-09-16 17:33:15.168725 - MPU6050: x=-6, y=0, z=-1 - Flex 1=16294, Flex 2=11696, Flex 3=5751, Flex 4=14682, Flex 5=42132
2025-09-16 17:33:16.229371 - MPU6050: x=-6, y=0, z=-1 - Flex 1=16273, Flex 2=11753, Flex 3=5714, Flex 4=14700, Flex 5=44635
2025-09-16 17:33:17.193540 - MPU6050: x=-6, y=0, z=-1 - Flex 1=16357, Flex 2=11696, Flex 3=5751, Flex 4=14682, Flex 5=45369
2025-09-16 17:33:18.168411 - MPU6050: x=-6, y=0, z=-1 - Flex 1=16336, Flex 2=11681, Flex 3=5744, Flex 4=14663, Flex 5=48098
2025-09-16 17:33:19.173734 - MPU6050: x=-6, y=0, z=-1 - Flex 1=16357, Flex 2=11753, Flex 3=5662, Flex 4=14626, Flex 5=51452
2025-09-16 17:33:20.168281 - MPU6050: x=-6, y=0, z=-1 - Flex 1=16357, Flex 2=11667, Flex 3=5744, Flex 4=14682, Flex 5=51682
2025-09-16 17:33:21.308297 - MPU6050: x=-6, y=0, z=-1 - Flex 1=16357, Flex 2=11710, Flex 3=5751, Flex 4=14663, Flex 5=54077
2025-09-16 17:33:22.180731 - MPU6050: x=-6, y=0, z=-1 - Flex 1=16421, Flex 2=11625, Flex 3=5751, Flex 4=14663, Flex 5=59037
